DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
RING1	2341.92716737023	2420.13158795133	2128.22943932988	2212.04445053597
MIR219A1	5.92393044022824	5.10360942208211	7.26712491478497	1.89712217027099
HSD17B8	453.18067867746	580.790752232944	392.424745398389	527.399963335334
SLC39A7	9008.32355610707	9622.3452043936	8941.67812729185	9508.37631739818
RNY4P10	0	0	0	0
RXRB	4173.40899514079	4037.97577475136	4677.9521237173	4482.89968835034
HCG24	0	0	0	0
LOC105375021	0	0	6.22896421267283	0
LOC124905396	0	0	0	0
MTCO3P1	0	0	0	0
RNU1-116P	0	0	0	0
HLA-DRB2	0	0	0	0
HLA-DRB3	0	0	0	0
LOC124905397	0	0	0	0
RNA5SP206	0	0	2.07632140422428	0
C4A	93.7955653036137	109.217241632557	104.854230913326	104.341719364904
ZBTB12	455.155322157536	488.925782635466	444.332780503995	428.749610481243
SNORD52	145.136295785592	110.237963516973	126.655605657681	139.438479514917
SNORD48	63.1885913624345	46.9532066831554	65.4041242330648	67.34783704462
SNHG32	6607.15708433456	7866.70356319736	7446.72671625037	7641.60810185153
HSPA1B	4440.9731866911	4130.86146623326	4406.99218046603	3156.81129133092
HSPA1A	3679.74812512177	3084.62153470642	3686.50865320021	2581.98327373881
HSPA1L	145.136295785592	111.25868540139	141.189855487251	77.7820089811104
LSM2	3633.34400333998	3754.2150908836	3996.91870313174	3980.16231322853
LOC105375020	0	0	0	0
LOC105379656	0	0	0	0
CCHCR1	2342.91448911027	2448.71180071499	2478.08959594168	2448.23616073471
POLR2LP1	0.987321740038039	0	1.03816070211214	0
PSORS1C2	0	0	0	0
CDSN	21.7210782808369	17.3522720350792	15.5724105316821	13.2798551918969
PSORS1C1	57.2646609222063	53.0775379896539	59.1751600203919	47.4280542567746
C6orf15	0	1.02072188441642	0	0
MUC21	0	0	0	0
NAPGP2	0	0	0	0
HCG21	0	0	0	0
MUCL3	27.6450087210651	19.393715803912	35.2974638718127	22.7654660432518
LOC124901299	3.94928696015216	9.18649695974779	0	4.74280542567746
SFTA2	0	0	0	0
VARS2	7518.45505038967	9985.72219524585	7761.28940899035	10468.3201355553
GTF2H4	2411.03968917289	2738.59681588926	2453.17373909098	2720.47319216859
MIR4640	13.8225043605325	16.3315501506627	11.4197677232335	13.2798551918969
DDR1	15843.5519623904	16209.0635245328	15730.2109584031	17107.2991704186
RN7SKP186	0	0	0	0
LINC02570	0	0	0	0
