baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IGK	714.301834931349	4.62476677833444	0.225163432146152	20.5395997665044	9.53450097518614e-94	8.09415569453469e-91
GASK1B	3207.90068579131	2.81337112694193	0.137869521208933	20.4060411777193	1.47780914986665e-92	1.2140917235098e-89
CEP55	1570.25569253729	3.25553677363939	0.159563845081898	20.4027220074099	1.58161772805077e-92	1.2587700093124e-89
F3	7504.14186414541	2.58793333953973	0.128869180884071	20.0818638078238	1.06329581538812e-89	8.20606600797112e-87
MYPN	660.582288578359	4.85294310852479	0.243802706815985	19.9052060245895	3.66780703493232e-88	2.7474032225193e-85
HMMR	2485.4641636349	2.77958963338781	0.140811999115578	19.7397214075935	9.83185958624934e-87	7.15422285550281e-84
BUB1	2836.06238801274	3.31553573422277	0.168429095185738	19.6850534081805	2.89631422168629e-86	2.0489814054974e-83
C1RL	7496.1596200698	-2.35915974144763	0.120008430899199	-19.6582833703509	4.91063949135175e-86	3.38011260988503e-83
KNL1	2920.94365222506	3.09075395082741	0.157501019001671	19.6237076459462	9.70127382550381e-86	6.5018958365245e-83
CCNA2	2995.05642251822	2.94570101285724	0.153233594568928	19.2235979397599	2.3490262090036e-82	1.53397434592061e-79
DISP2	1518.80968697631	3.01862008360406	0.157443072029511	19.1727717497678	6.24889549772666e-82	3.97867176340257e-79
PLK1	3442.21526404565	3.30331884638735	0.173115106412295	19.0816325325191	3.58872532223669e-81	2.22921113431034e-78
CCNB1	6394.9949654753	2.74816485087448	0.145465559141149	18.8922028492521	1.32211804480188e-79	8.01707199167006e-77
SHCBP1	2099.40210043547	3.59765138169702	0.191197190264302	18.8164448270594	5.53779881493504e-79	3.27992233066897e-76
ESPL1	2384.88749481785	2.84152236966336	0.151269864160442	18.7844577334289	1.01214891100182e-78	5.85850192395329e-76
DEPDC1	2542.58166160719	2.90713460801818	0.154891829790751	18.7688053782148	1.35907341802879e-78	7.69175151341272e-76
AURKA	3585.77663160276	2.58131514206524	0.138502871653626	18.6372680309525	1.60217041431493e-77	8.87045132864623e-75
EPHB6	1581.45178421647	-3.52933136922062	0.18974607711479	-18.600286355778	3.19596075767209e-77	1.73180273566793e-74
AREG	25504.9076960599	3.05046936985831	0.165027556081584	18.4846061002701	2.74697551203945e-76	1.45749942376293e-73
TYMS	4627.99611135946	3.16335847533456	0.171262658963945	18.4708009000405	3.54781422638932e-76	1.84399454525884e-73
ALDH1L2	35308.8569018486	-2.17450302949426	0.117746790846088	-18.4676203391109	3.76310858173987e-76	1.91677698719502e-73
ITGA2	20311.4885787991	2.09170463202265	0.113752722690457	18.38817201514	1.63396900448268e-75	8.15959266787546e-73
PCDH7	3690.46326075546	2.48041880861023	0.134986766425422	18.3752739197632	2.07258958042113e-75	1.01509060450318e-72
KLF15	780.029756495255	-3.75152150870356	0.205207278735565	-18.281620085893	1.15930751085899e-74	5.57080069557673e-72
TREM2	560.429994501964	6.44147277746045	0.353483116376608	18.2228584026559	3.39925243890212e-74	1.60318816877702e-71
CEMIP	632.386806190862	4.09848045649382	0.225186303916009	18.2003984488439	5.12337713436939e-74	2.37240307014763e-71
ASPM	9245.28830195895	2.74839410260078	0.151641847543511	18.1242456955173	2.05136908488882e-73	9.32933354534792e-71
TUBA1B	34090.7395021684	2.09001356459865	0.115648200849493	18.0721667025208	5.27988354549041e-73	2.35908901993947e-70
SRPX2	1957.56872018413	2.9761898038717	0.16541239280744	17.9925442910215	2.22885358379176e-72	9.78697294344976e-70
SFTPB	2884.88841253541	-2.69516103673086	0.150517883895499	-17.9059189976524	1.06030474427521e-71	4.57692224189847e-69
